AbsenceID,EventDate,EmployeeID,AbsenceReason0,AbsenceReason1,AbsenceHours,AbsenceDays,FunctionalCategory,PlanningCategory,CompensationCategory
Absence-151,2017-08-28,Employee-3758,Paid Annual Leave Scheduled,Reason1,13.015422618334897,1.6269278272918621,Annual Leave,Scheduled,Paid
Absence-154,2017-08-28,Employee-3200,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-160,2017-08-28,Employee-2461,Paid Annual Leave Scheduled,Reason1,62.60000000000005,7.825000000000006,Annual Leave,Scheduled,Paid
Absence-184,2017-08-28,Employee-171,Paid Annual Leave Scheduled,Reason1,56.96000000000004,7.120000000000005,Annual Leave,Scheduled,Paid
Absence-198,2017-08-28,Employee-3283,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-202,2017-08-28,Employee-2283,Paid Annual Leave Scheduled,Reason1,55.36000000000004,6.920000000000005,Annual Leave,Scheduled,Paid
Absence-205,2017-08-28,Employee-1645,Paid Annual Leave Scheduled,Reason1,14.080000000000007,1.760000000000001,Annual Leave,Scheduled,Paid
Absence-207,2017-08-31,Employee-1287,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-239,2017-08-28,Employee-1313,Paid Sick Leave Unscheduled,Reason1,23.840000000000018,2.980000000000002,Sick Leave,Unscheduled,Paid
Absence-240,2017-08-30,Employee-1313,Unpaid Sick Leave Unscheduled,Reason1,8.159999999999982,1.0199999999999978,Sick Leave,Unscheduled,Unpaid
Absence-257,2017-08-28,Employee-151,Paid Sick Leave Unscheduled,Reason1,56.0,7.0,Sick Leave,Unscheduled,Paid
Absence-270,2017-08-28,Employee-1677,Paid Sick Leave Scheduled,Reason1,3.2,0.4,Sick Leave,Scheduled,Paid
Absence-280,2017-08-28,Employee-810,Paid Annual Leave Unscheduled,Reason1,31.560000000000052,3.9450000000000065,Annual Leave,Unscheduled,Paid
Absence-282,2017-08-28,Employee-785,Paid Annual Leave Scheduled,Reason1,16.000000000000007,2.000000000000001,Annual Leave,Scheduled,Paid
Absence-301,2017-08-28,Employee-3986,Paid Annual Leave Unscheduled,Reason1,7.040000000000002,0.8800000000000002,Annual Leave,Unscheduled,Paid
Absence-327,2017-08-28,Employee-122,Paid Sick Leave Unscheduled,Reason1,40.63999999999977,5.079999999999972,Sick Leave,Unscheduled,Paid
Absence-328,2017-09-02,Employee-122,Unpaid Sick Leave Scheduled,Reason1,23.360000000000227,2.9200000000000284,Sick Leave,Scheduled,Unpaid
Absence-331,2017-08-28,Employee-4086,Paid Sick Leave Scheduled,Reason1,2.56,0.32,Sick Leave,Scheduled,Paid
Absence-332,2017-08-28,Employee-4086,Unpaid Sick Leave Scheduled,Reason1,13.44,1.68,Sick Leave,Scheduled,Unpaid
Absence-341,2017-08-28,Employee-2964,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-344,2017-08-28,Employee-2549,Paid Sick Leave Scheduled,Reason1,16.0,2.0,Sick Leave,Scheduled,Paid
Absence-376,2017-08-28,Employee-3416,Paid Sick Leave Unscheduled,Reason1,38.23999999999989,4.779999999999986,Sick Leave,Unscheduled,Paid
Absence-377,2017-09-01,Employee-3416,Unpaid Sick Leave Unscheduled,Reason1,9.760000000000112,1.220000000000014,Sick Leave,Unscheduled,Unpaid
Absence-415,2017-08-28,Employee-174,Paid Annual Leave Unscheduled,Reason1,18.88000000000001,2.360000000000001,Annual Leave,Unscheduled,Paid
Absence-423,2017-08-28,Employee-3886,Paid Sick Leave Unscheduled,Reason1,5.7600000000000025,0.7200000000000003,Sick Leave,Unscheduled,Paid
Absence-424,2017-08-28,Employee-3886,Unpaid Sick Leave Scheduled,Reason1,42.239999999999995,5.279999999999999,Sick Leave,Scheduled,Unpaid
Absence-426,2017-08-28,Employee-2932,Paid Sick Leave Unscheduled,Reason1,30.88000000000003,3.860000000000004,Sick Leave,Unscheduled,Paid
Absence-427,2017-08-31,Employee-2932,Unpaid Sick Leave Scheduled,Reason1,25.11999999999997,3.139999999999996,Sick Leave,Scheduled,Unpaid
Absence-438,2017-08-28,Employee-922,Paid Annual Leave Scheduled,Reason1,25.920000000000016,3.240000000000002,Annual Leave,Scheduled,Paid
Absence-449,2017-08-28,Employee-158,Paid Annual Leave Scheduled,Reason1,4.057475143591729,0.5071843929489661,Annual Leave,Scheduled,Paid
Absence-454,2017-08-28,Employee-3500,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-470,2017-08-28,Employee-1357,Paid Annual Leave Scheduled,Reason1,16.0,2.0,Annual Leave,Scheduled,Paid
Absence-478,2017-08-28,Employee-516,Paid Annual Leave Unscheduled,Reason1,32.0,4.0,Annual Leave,Unscheduled,Paid
Absence-494,2017-08-28,Employee-2328,Paid Sick Leave Scheduled,Reason1,40.0,5.0,Sick Leave,Scheduled,Paid
Absence-499,2017-08-28,Employee-1811,Paid Annual Leave Scheduled,Reason1,49.480000000000054,6.185000000000007,Annual Leave,Scheduled,Paid
Absence-510,2017-08-28,Employee-749,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-547,2017-08-28,Employee-1061,Paid Annual Leave Scheduled,Reason1,56.40067958093185,7.050084947616481,Annual Leave,Scheduled,Paid
Absence-550,2017-08-28,Employee-1000,Paid Sick Leave Unscheduled,Reason1,18.456385904595855,2.307048238074482,Sick Leave,Unscheduled,Paid
Absence-551,2017-09-01,Employee-1000,Unpaid Sick Leave Unscheduled,Reason1,12.490822752657934,1.5613528440822417,Sick Leave,Unscheduled,Unpaid
Absence-576,2017-08-28,Employee-1933,Paid Sick Leave Unscheduled,Reason1,24.0,3.0,Sick Leave,Unscheduled,Paid
Absence-613,2017-08-28,Employee-1973,Paid Sick Leave Unscheduled,Reason1,13.120000000000008,1.640000000000001,Sick Leave,Unscheduled,Paid
Absence-614,2017-08-29,Employee-1973,Unpaid Sick Leave Unscheduled,Reason1,18.879999999999992,2.359999999999999,Sick Leave,Unscheduled,Unpaid
Absence-643,2017-08-28,Employee-3911,Paid Sick Leave Scheduled,Reason1,12.480000000000008,1.560000000000001,Sick Leave,Scheduled,Paid
Absence-644,2017-08-29,Employee-3911,Unpaid Sick Leave Unscheduled,Reason1,19.519999999999992,2.439999999999999,Sick Leave,Unscheduled,Unpaid
Absence-645,2017-08-28,Employee-3614,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-649,2017-08-28,Employee-3327,Paid Sick Leave Scheduled,Reason1,4.960000000000002,0.6200000000000002,Sick Leave,Scheduled,Paid
Absence-650,2017-08-28,Employee-3327,Unpaid Sick Leave Unscheduled,Reason1,3.0399999999999983,0.3799999999999998,Sick Leave,Unscheduled,Unpaid
Absence-660,2017-08-28,Employee-2549,Paid Sick Leave Unscheduled,Reason1,24.0,3.0,Sick Leave,Unscheduled,Paid
Absence-693,2017-08-28,Employee-3416,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-711,2017-08-31,Employee-1287,Paid Annual Leave Scheduled,Reason1,2.0,0.25,Annual Leave,Scheduled,Paid
Absence-735,2017-08-28,Employee-1842,Paid Sick Leave Unscheduled,Reason1,56.0,7.0,Sick Leave,Unscheduled,Paid
Absence-761,2017-08-28,Employee-77,Paid Sick Leave Unscheduled,Reason1,56.0,7.0,Sick Leave,Unscheduled,Paid
Absence-772,2017-08-28,Employee-3625,Paid Annual Leave Scheduled,Reason1,16.0,2.0,Annual Leave,Scheduled,Paid
Absence-782,2017-08-28,Employee-1883,Paid Sick Leave Scheduled,Reason1,32.0,4.0,Sick Leave,Scheduled,Paid
Absence-783,2017-08-28,Employee-1783,Paid Annual Leave Scheduled,Reason1,21.12000000000004,2.640000000000005,Annual Leave,Scheduled,Paid
Absence-5,2017-08-28,Employee-3792,Paid Sick Leave Unscheduled,Reason1,28.48000000000002,3.5600000000000027,Sick Leave,Unscheduled,Paid
Absence-6,2017-08-31,Employee-3792,Unpaid Sick Leave Scheduled,Reason1,35.51999999999998,4.439999999999998,Sick Leave,Scheduled,Unpaid
Absence-12,2017-08-29,Employee-3157,Paid Sick Leave Scheduled,Reason1,33.759999999999984,4.219999999999998,Sick Leave,Scheduled,Paid
Absence-13,2017-09-02,Employee-3157,Unpaid Sick Leave Unscheduled,Reason1,14.240000000000016,1.780000000000002,Sick Leave,Unscheduled,Unpaid
Absence-28,2017-08-28,Employee-158,Paid Annual Leave Unscheduled,Reason1,4.057475143591729,0.5071843929489661,Annual Leave,Unscheduled,Paid
Absence-43,2017-08-28,Employee-2469,Paid Annual Leave Scheduled,Reason1,32.0,4.0,Annual Leave,Scheduled,Paid
Absence-74,2017-08-28,Employee-3038,Paid Annual Leave Scheduled,Reason1,13.083452553313585,1.635431569164198,Annual Leave,Scheduled,Paid
Absence-78,2017-08-28,Employee-2283,Paid Sick Leave Scheduled,Reason1,43.199999999999676,5.3999999999999595,Sick Leave,Scheduled,Paid
Absence-79,2017-09-02,Employee-2283,Unpaid Sick Leave Unscheduled,Reason1,12.800000000000324,1.6000000000000405,Sick Leave,Unscheduled,Unpaid
Absence-80,2017-08-28,Employee-1811,Paid Annual Leave Scheduled,Reason1,3.1999999999999997,0.39999999999999997,Annual Leave,Scheduled,Paid
Absence-94,2017-08-28,Employee-480,Paid Sick Leave Unscheduled,Reason1,10.560000000000006,1.3200000000000007,Sick Leave,Unscheduled,Paid
Absence-95,2017-08-29,Employee-480,Unpaid Sick Leave Unscheduled,Reason1,61.44,7.68,Sick Leave,Unscheduled,Unpaid
Absence-157,2017-08-28,Employee-3416,Paid Sick Leave Scheduled,Reason1,2.4,0.3,Sick Leave,Scheduled,Paid
Absence-158,2017-08-28,Employee-3416,Unpaid Sick Leave Scheduled,Reason1,37.6,4.7,Sick Leave,Scheduled,Unpaid
Absence-159,2017-08-28,Employee-3249,Paid Annual Leave Scheduled,Reason1,21.747051994845823,2.718381499355728,Annual Leave,Scheduled,Paid
Absence-161,2017-08-28,Employee-3234,Unpaid Sick Leave Scheduled,Reason1,9.120000000000637,1.1400000000000796,Sick Leave,Scheduled,Unpaid
Absence-227,2017-08-28,Employee-66,Paid Sick Leave Scheduled,Reason1,37.11999999999768,4.63999999999971,Sick Leave,Scheduled,Paid
Absence-228,2017-09-01,Employee-66,Unpaid Sick Leave Scheduled,Reason1,2.880000000002319,0.36000000000028987,Sick Leave,Scheduled,Unpaid
Absence-342,2017-08-28,Employee-3500,Paid Annual Leave Unscheduled,Reason1,16.0,2.0,Annual Leave,Unscheduled,Paid
Absence-344,2017-08-29,Employee-3172,Paid Sick Leave Unscheduled,Reason1,24.0,3.0,Sick Leave,Unscheduled,Paid
Absence-353,2017-08-28,Employee-1842,Paid Sick Leave Scheduled,Reason1,16.0,2.0,Sick Leave,Scheduled,Paid
Absence-355,2017-08-28,Employee-1595,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-375,2017-08-28,Employee-3963,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-449,2017-08-28,Employee-238,Paid Sick Leave Unscheduled,Reason1,27.199999999999406,3.3999999999999257,Sick Leave,Unscheduled,Paid
Absence-450,2017-08-31,Employee-238,Unpaid Sick Leave Scheduled,Reason1,12.800000000000594,1.6000000000000743,Sick Leave,Scheduled,Unpaid
Absence-473,2017-08-28,Employee-2932,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-500,2017-08-28,Employee-3384,Unpaid Sick Leave Unscheduled,Reason1,13.280000000000548,1.6600000000000685,Sick Leave,Unscheduled,Unpaid
Absence-530,2017-08-28,Employee-332,Paid Annual Leave Unscheduled,Reason1,12.800000000000006,1.6000000000000008,Annual Leave,Unscheduled,Paid
Absence-577,2017-08-28,Employee-2932,Paid Annual Leave Scheduled,Reason1,24.0,3.0,Annual Leave,Scheduled,Paid
Absence-682,2017-08-28,Employee-4086,Paid Sick Leave Scheduled,Reason1,4.800000000000002,0.6000000000000002,Sick Leave,Scheduled,Paid
Absence-683,2017-08-28,Employee-4086,Unpaid Sick Leave Unscheduled,Reason1,19.2,2.4,Sick Leave,Unscheduled,Unpaid
Absence-713,2017-08-28,Employee-630,Paid Annual Leave Scheduled,Reason1,17.92000000000001,2.240000000000001,Annual Leave,Scheduled,Paid
Absence-733,2017-08-28,Employee-1907,Paid Sick Leave Unscheduled,Reason1,4.0,0.5,Sick Leave,Unscheduled,Paid
Absence-760,2017-08-28,Employee-158,Paid Annual Leave Scheduled,Reason1,20.287375717958646,2.535921964744831,Annual Leave,Scheduled,Paid
Absence-801,2017-08-28,Employee-458,Paid Annual Leave Unscheduled,Reason1,16.000000000000007,2.000000000000001,Annual Leave,Unscheduled,Paid
Absence-820,2017-08-28,Employee-2262,Paid Annual Leave Scheduled,Reason1,45.12000000000003,5.640000000000004,Annual Leave,Scheduled,Paid
Absence-838,2017-08-28,Employee-922,Paid Sick Leave Unscheduled,Reason1,37.439999999999515,4.679999999999939,Sick Leave,Unscheduled,Paid
Absence-839,2017-09-01,Employee-922,Unpaid Sick Leave Unscheduled,Reason1,10.560000000000485,1.3200000000000607,Sick Leave,Unscheduled,Unpaid
Absence-842,2017-08-28,Employee-736,Paid Sick Leave Unscheduled,Reason1,72.0,9.0,Sick Leave,Unscheduled,Paid
Absence-29,2017-08-28,Employee-1128,Paid Sick Leave Unscheduled,Reason1,6.400000000000003,0.8000000000000004,Sick Leave,Unscheduled,Paid
Absence-30,2017-08-28,Employee-1128,Unpaid Sick Leave Scheduled,Reason1,33.599999999999994,4.199999999999999,Sick Leave,Scheduled,Unpaid
Absence-37,2017-08-28,Employee-785,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-58,2017-08-28,Employee-3963,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-74,2017-08-28,Employee-1779,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-76,2017-08-28,Employee-1595,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-195,2017-08-28,Employee-1237,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-303,2017-08-28,Employee-3522,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-308,2017-08-29,Employee-3172,Paid Annual Leave Unscheduled,Reason1,32.0,4.0,Annual Leave,Unscheduled,Paid
Absence-384,2017-08-28,Employee-3038,Paid Sick Leave Scheduled,Reason1,3.9407989618414367,0.4925998702301796,Sick Leave,Scheduled,Paid
Absence-579,2017-08-28,Employee-2262,Paid Annual Leave Scheduled,Reason1,4.8,0.6,Annual Leave,Scheduled,Paid
Absence-587,2017-08-28,Employee-1289,Paid Sick Leave Scheduled,Reason1,21.52390704258949,2.690488380323686,Sick Leave,Scheduled,Paid
Absence-615,2017-08-28,Employee-3353,Paid Annual Leave Scheduled,Reason1,34.560000000000024,4.320000000000003,Annual Leave,Scheduled,Paid
Absence-658,2017-08-28,Employee-3204,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-691,2017-08-28,Employee-332,Paid Annual Leave Scheduled,Reason1,8.000000000000002,1.0000000000000002,Annual Leave,Scheduled,Paid
Absence-731,2017-08-28,Employee-956,Paid Sick Leave Unscheduled,Reason1,5.661498776768283,0.7076873470960354,Sick Leave,Unscheduled,Paid
Absence-732,2017-08-28,Employee-700,Paid Sick Leave Unscheduled,Reason1,29.497684073301798,3.6872105091627247,Sick Leave,Unscheduled,Paid
Absence-770,2017-08-28,Employee-785,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-775,2017-08-28,Employee-285,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-802,2017-08-28,Employee-1289,Paid Annual Leave Scheduled,Reason1,73.3025316818173,9.162816460227162,Annual Leave,Scheduled,Paid
Absence-55,2017-08-28,Employee-1973,Paid Sick Leave Unscheduled,Reason1,8.000000000000004,1.0000000000000004,Sick Leave,Unscheduled,Paid
Absence-56,2017-08-29,Employee-1973,Unpaid Sick Leave Scheduled,Reason1,40.0,5.0,Sick Leave,Scheduled,Unpaid
Absence-283,2017-08-28,Employee-4086,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-288,2017-08-28,Employee-2283,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-318,2017-08-28,Employee-3500,Paid Sick Leave Unscheduled,Reason1,16.0,2.0,Sick Leave,Unscheduled,Paid
Absence-421,2017-08-28,Employee-2978,Paid Sick Leave Scheduled,Reason1,21.898696416217327,2.737337052027166,Sick Leave,Scheduled,Paid
Absence-539,2017-08-28,Employee-1842,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-707,2017-08-28,Employee-1289,Paid Sick Leave Unscheduled,Reason1,43.04781408517898,5.380976760647372,Sick Leave,Unscheduled,Paid
